schema_version,study_id,scenario_id,input_sample_id,replication_id,study_cell_id,layout_id,traveller_count,security_observation_span_seconds,immigration_observation_span_seconds,total_stage_observation_span_seconds,total_queue_wait_p95_seconds,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,peak_security_lane_waiting_queue,peak_immigration_lane_waiting_queue,security_fragmentation_seconds,immigration_fragmentation_seconds,total_fragmentation_seconds,security_fragmentation_fraction,immigration_fragmentation_fraction,total_fragmentation_fraction,immutable_input_sha256,pooled_replay_status,crn_status
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,419,337.923948587,329.105766769,667.029715356,9.854981898999995,4,5,7,1,1,123.53880676700003,138.5386591149997,262.07746588199973,0.3655816857123236,0.42095482092308717,0.39290223486089604,d90d0ebfb1803ca5ac6ad075310229a9931f431669186cd9d1a52b58d0fced64,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,REFERENCE_SCALE,POOLED_FCFS,408,320.79453702600006,312.35398547999995,633.1485225060001,2.5790754580000907,8,7,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,bd94589f00fec48b43544f51fbb23dca7e88c1ee87029b1503eff20152804d58,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,408,330.57516094799996,321.75697912999993,652.3321400779998,9.510295348,8,7,8,1,1,67.48552231399998,108.29958268099986,175.78510499499984,0.20414577465672193,0.3365881385815828,0.26947178315325854,bd94589f00fec48b43544f51fbb23dca7e88c1ee87029b1503eff20152804d58,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,REFERENCE_SCALE,POOLED_FCFS,442,319.873193114,311.05501129600003,630.92820441,7.716276927000024,13,10,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,68dfb69793975f9962ca61dc06fc202ebb21559aaf843298a125a978ae0d175b,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,442,319.873193114,311.05501129600003,630.92820441,18.862540042999996,14,12,19,1,1,138.183970683,160.88202848200007,299.0659991650001,0.43199609613348394,0.5172140703076623,0.4740095577826731,68dfb69793975f9962ca61dc06fc202ebb21559aaf843298a125a978ae0d175b,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,REFERENCE_SCALE,POOLED_FCFS,395,320.07672142900003,311.258539611,631.33526104,4.277478308999989,8,8,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,d71ec109fd1d8cd6ba14022d82557a4ee99c95774171782a5a2ae1144715b5c7,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,395,320.07672142900003,316.491775828,636.568497257,9.996545849,8,6,9,1,1,55.788134242000105,94.16022927900006,149.94836352100018,0.17429613123044665,0.297512404651463,0.23555731106257047,d71ec109fd1d8cd6ba14022d82557a4ee99c95774171782a5a2ae1144715b5c7,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,REFERENCE_SCALE,POOLED_FCFS,394,320.956107711,312.137925893,633.0940336040001,2.0469291359999886,4,6,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,a8d48ca4025296907714327dee599795b7921f57baac604ebd6b7e271fc8aba1,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,394,320.956107711,321.28909846700003,642.245206178,7.6111837629999854,4,5,8,1,1,49.899793697999996,75.99591736799991,125.8957110659999,0.15547232939069505,0.23653437894596208,0.1960243686600715,a8d48ca4025296907714327dee599795b7921f57baac604ebd6b7e271fc8aba1,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,11,REFERENCE_SCALE,POOLED_FCFS,409,321.017424544,312.19924272599997,633.21666727,3.7276290410000144,7,8,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0f77b869380d29bae442627fe0f332946ae2ef68e291414c66d49918da2f8367,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,11,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,409,321.017424544,312.19924272599997,633.21666727,12.822075060000003,7,9,13,1,1,108.53403832400002,125.75766451899986,234.29170284299988,0.3380939164849723,0.40281220230047265,0.37000242563593044,0f77b869380d29bae442627fe0f332946ae2ef68e291414c66d49918da2f8367,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,12,REFERENCE_SCALE,POOLED_FCFS,423,320.93437343299996,312.116191615,633.050565048,5.195606569999995,14,6,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,34fd9dcc86c712ed88b2324c4213f84ee3c52bf6d9eaf6a4d558252cd62cc8cb,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,12,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,423,324.04425688399994,315.22607506599996,639.2703319499999,12.798719747999996,16,6,16,1,1,105.23209763500009,91.59712406800011,196.8292217030002,0.32474606600625744,0.29057597487397613,0.30789669388003926,34fd9dcc86c712ed88b2324c4213f84ee3c52bf6d9eaf6a4d558252cd62cc8cb,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,13,REFERENCE_SCALE,POOLED_FCFS,455,320.888815143,312.070633325,632.959448468,18.740817072,32,13,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,ccb5cb3bd06f210be046acf31e68f491570e084b4de7a53dacb0afaa64c0fc20,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,13,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,455,327.4671799209999,320.38219160799997,647.8493715289999,28.079342242999985,32,18,38,1,1,69.143112416,116.93939708800013,186.08250950400014,0.21114516707500422,0.36499967898053465,0.287231133781644,ccb5cb3bd06f210be046acf31e68f491570e084b4de7a53dacb0afaa64c0fc20,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,14,REFERENCE_SCALE,POOLED_FCFS,374,319.9823754650001,311.16419364700005,631.1465691120002,3.122620387000012,5,8,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,362f2c1098dc90b75eaf3dfc0113bcaa5e55e4f503e9bd182ced0937c31251f5,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,14,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,374,319.9823754650001,311.16419364700005,631.1465691120002,10.630547463,7,7,7,1,1,55.51251792499998,84.34480723599992,139.8573251609999,0.17348617355668075,0.27106205970371006,0.22159246679859793,362f2c1098dc90b75eaf3dfc0113bcaa5e55e4f503e9bd182ced0937c31251f5,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,15,REFERENCE_SCALE,POOLED_FCFS,386,320.12028986400003,311.30210804600006,631.4223979100001,2.6207238169999982,7,4,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8d73debbc937e6fd1d57fdfc3fdb717eb150b700f78bbc06713c494c919b9489,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,15,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,386,320.12028986400003,313.066098174,633.186388038,6.490415820999971,7,5,10,1,1,37.67724891599997,79.23873235999989,116.91598127599985,0.11769715981453965,0.2531054394652453,0.18464702255883503,8d73debbc937e6fd1d57fdfc3fdb717eb150b700f78bbc06713c494c919b9489,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,16,REFERENCE_SCALE,POOLED_FCFS,401,321.71958364,314.29947105,636.0190546900001,1.9989252380000266,4,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6aec6d93b004116d801c6f27010ae99d6a6d822f382b8e9077856612cc78cb3f,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,16,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,401,339.670445406,330.85226358799997,670.5227089939999,9.921793478999973,5,5,7,1,1,65.72100742199993,98.75831675000002,164.47932417199996,0.19348462108160505,0.29849672382166526,0.2453001545895022,6aec6d93b004116d801c6f27010ae99d6a6d822f382b8e9077856612cc78cb3f,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,17,REFERENCE_SCALE,POOLED_FCFS,429,320.515009246,311.696827428,632.211836674,5.150024982000019,12,7,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,f1ac0cecb9da7988461b07f5d4ec62eba326266d2999b10085a2c4b5f53c72d5,PASS,PASS
