schema_version,study_id,study_cell_id,metric,difference_direction,comparison_method,pooled_replay_status,replay_validation_scope,crn_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,total_queue_wait_p95_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,7.040165250779892,0.39926560415070184,49.0,0.95,6.237810979641196,7.842519521918588,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,peak_security_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.96,0.11050902631893551,49.0,0.95,0.7379237972302037,1.1820762027697962,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,peak_immigration_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,1.2,0.07559289460184544,49.0,0.95,1.0480903909052108,1.351909609094789,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,peak_total_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,1.62,0.120847348471752,49.0,0.95,1.3771481610384393,1.862851838961561,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,peak_security_lane_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.16,0.05237229365663817,49.0,0.95,0.0547539355559592,0.2652460644440408,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,peak_immigration_lane_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.0,0.0,49.0,0.95,0.0,0.0,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,security_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,99.78659130516027,8.54287245420549,49.0,0.95,82.61904636723543,116.95413624308512,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,immigration_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,348.3033409340012,8.015088530772239,49.0,0.95,332.19641749916275,364.41026436883965,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,total_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,448.08993223916144,10.177583634135443,49.0,0.95,427.63731219419105,468.54255228413183,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,security_fragmentation_fraction,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.06368690703583219,0.005525061572694136,49.0,0.95,0.052583880115731715,0.07478993395593266,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,immigration_fragmentation_fraction,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.22172802367398123,0.005007290402409795,49.0,0.95,0.2116654968761836,0.23179055047177885,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,ILLUSTRATIVE_NORMALIZED_SMALL_SCALE,total_fragmentation_fraction,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,REFERENCE_GATE_PASS_PREREQUISITE,REFERENCE_EXACT_GATE_PASS; TRANSFORMED_MECHANISM_ONLY,PASS,50,50,0.14254127458635668,0.003377866850807465,49.0,0.95,0.13575319700865426,0.1493293521640591,COMPLETE_CONDITIONAL_COUNTERFACTUAL
