schema_version,study_id,view,path_index,security_service_cv,immigration_service_cv,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,IMMIGRATION_CV_AT_SECURITY_CV_ZERO,0,0,0,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,50,3.92879239474,0.384147863602,0.95,3.15681836065,4.70076642883
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,IMMIGRATION_CV_AT_SECURITY_CV_ZERO,1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,total_queue_wait_p95_seconds,50,4.61190716688,0.416630768365,0.95,3.77465629175,5.44915804201
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,IMMIGRATION_CV_AT_SECURITY_CV_ZERO,2,0,1,SERVICE_VARIABILITY_SCV000_ICV100,total_queue_wait_p95_seconds,50,5.5888804859,0.603252462852,0.95,4.37659927481,6.80116169699
