schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,30.6035366143,10.4413242112,1.47662623086,49,0.95,27.6361451063,33.5709281224,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.32,2.83879825106,0.401466698749,49,0.95,-0.486777536337,1.12677753634,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,10.8929182664,7.31008498037,1.03380213213,49,0.95,8.81541510155,12.9704214312,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.66008809116,3.38686365789,0.478974851889,49,0.95,0.697552089596,2.62262409272,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.344766910617,0.945246116925,0.133677987834,49,0.95,0.0761309365177,0.613402884717,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.79986484474,3.45460050631,0.48855428886,49,0.95,0.818078243854,2.78165144563,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,3.14,4.79374592568,0.677938050267,49,0.95,1.77763248188,4.50236751812,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,2.42,4.62067227196,0.653461739429,49,0.95,1.10681947003,3.73318052997,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
