schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701526,2.49509732493,0.352860047636,0.95,1.60977820136,3.02797582916,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.12569112546,1.50302878165,0.212560368765,0.95,2.69853507199,3.55284717893,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,8.38,5.08655691254,0.719347777149,0.95,6.93441652016,9.82558347984,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,8.74,2.6014909383,0.367906376733,0.95,8.00066445574,9.47933554426,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,10.42,4.61183039496,0.652211309191,0.95,9.10933230367,11.7306676963,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.55267486741,1.06174634879,0.150153608625,0.95,0.25092989375,0.854419841069,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.693601652609,0.588250684268,0.0831912095767,0.95,0.526422657897,0.860780647321,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.24627652002,1.49936975454,0.212042904189,0.95,0.820160350552,1.67239268949,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,48.4319782828,2.19010418298,0.309727503858,0.95,47.8095575608,49.0543990048,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,system_time_p99_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,58.1726608398,3.84596252305,0.543901236048,0.95,57.0796503844,59.2656712952,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
