schema_version,study_id,security_service_cv,immigration_service_cv,joint_scenario_id,security_only_scenario_id,immigration_only_scenario_id,reference_scenario_id,metric,contrast,n_pairs,interaction_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-6.5833906466,1.59455812713,0.225504572938,49,0.95,-7.03655905223,-6.13022224097,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-14.1601836063,5.29187668002,0.748384377129,49,0.95,-15.6641183185,-12.6562488942,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-27.9634160182,10.0150820395,1.41634648486,49,0.95,-30.8096708414,-25.1171611951,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.02,2.46187252443,0.348161351288,49,0.95,-0.679656430074,0.719656430074,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-7.90775754358,7.92122576391,1.12023049059,49,0.95,-10.1589449974,-5.6565700898,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.12493196776,1.66805877544,0.235899134306,49,0.95,-0.349125091002,0.598989026522,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.0285546397366,0.342766630115,0.0484745217038,49,0.95,-0.0688585587109,0.125967838184,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.07063060236,1.79496799406,0.253846808123,49,0.95,-0.439493657268,0.580754861988,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.1,3.4831958115,0.492598275702,49,0.95,-1.0899132967,0.889913296703,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.14,3.23885845347,0.458043755151,49,0.95,-0.780473387873,1.06047338787,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,6.2172489379e-17,5.11558922223e-16,7.2345356576e-17,49,0.95,-8.32109477174e-17,2.07555926475e-16,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.0567340949809,0.414489538095,0.0586176726235,49,0.95,-0.0610625283815,0.174530718343,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.0567340949809,0.414489538095,0.0586176726235,49,0.95,-0.0610625283815,0.174530718343,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-9.94679757522,3.12527552556,0.44198070344,49,0.95,-10.8349910521,-9.0586040983,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-23.6186475087,7.44545626945,1.05294652343,49,0.95,-25.7346227682,-21.5026722492,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-48.8517556824,15.0501688617,2.12841529202,49,0.95,-53.1289663475,-44.5745450172,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.08,2.50582993706,0.354377868199,49,0.95,-0.63214898852,0.79214898852,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,1,SERVICE_VARIABILITY_SCV050_ICV100,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-19.4995523129,12.1221027725,1.71432421453,49,0.95,-22.9446158029,-16.054488823,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.0127609716,1.02984583607,0.145642194852,49,0.95,-0.279917976656,0.305439919856,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
