schema_version,study_id,scenario_id,input_sample_id,replication_id,security_service_cv,immigration_service_cv,config_id,config_sha256,model_version,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,arrivals,completed_after_drain,rejected_or_dropped_count,total_queue_wait_p95_seconds,total_queue_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_p95_seconds,system_time_p95_seconds,system_time_p99_seconds,system_time_max_seconds,cutoff_backlog,cohort_clear_time_after_cutoff_seconds,security_utilization,immigration_utilization,analysis_window_start_seconds,analysis_window_end_seconds,peak_window_end_seconds,security_positive_wait_count,immigration_positive_wait_count,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,security_queue_person_seconds,immigration_queue_person_seconds,total_queue_person_seconds,time_weighted_mean_security_waiting_queue,time_weighted_mean_immigration_waiting_queue,time_weighted_mean_total_waiting_queue
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,11,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290111,202609290112,202609290113,202609290114,409,409,0,3.727629041,0.814457277088,2.482026498,2.55575844,38.545810859,40.413783227,41.421069749,42,34.795505588,0.740388636,0.756254107,0,300,321.795505588,70,144,7,8,8,117.989309439,213.646611915,331.635921354,0.39329769813,0.71215537305,1.10545307118
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,12,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290121,202609290122,202609290123,202609290124,423,423,0,5.19560657,0.878583094539,3.594318012,2.055972591,40.013788388,43.326888469,44.206775894,52,34.673639871,0.766010841,0.782425359,0,300,321.673639871,82,143,14,6,14,181.691169262,185.157485104,366.848654366,0.605637230873,0.617191617013,1.22282884789
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,13,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290131,202609290132,202609290133,202609290134,455,455,0,18.740817072,6.87611146396,15.311140781,6.027288013,53.55899889,56.387583865,56.524927051,55,34.623415863,0.824083321,0.841742249,0,300,321.623415863,226,287,32,13,35,2235.60527447,866.066532492,3101.67180696,7.45201758156,2.88688844164,10.3389060232
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,14,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290141,202609290142,202609290143,202609290144,374,374,0,3.122620387,0.425524233078,0.485602555,2.495840321,37.940802205,39.831815308,41.254098524,31,33.719484820,0.679213162,0.693767730,0,300,320.71948482,27,72,5,8,8,39.5280524,119.618010771,159.146063171,0.131760174667,0.39872670257,0.530486877237
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,15,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290151,202609290152,202609290153,202609290154,386,386,0,2.620723817,0.332675354212,1.783448806,1.304406501,37.438905635,38.419949682,39.171357044,39,33.864251907,0.700702134,0.715717180,0,300,320.864251907,40,69,7,4,7,64.467384992,55.557239309,120.024624301,0.214891283307,0.185190797697,0.400082081003
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,16,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290161,202609290162,202609290163,202609290164,401,401,0,1.998925238,0.301965517075,0.815556016,1.411975456,36.817107056,37.616386448,38.102923041,58,36.858360916,0.721461395,0.736921282,0,300,323.858360916,43,86,4,5,5,33.827733972,57.873085127,91.700819099,0.11275911324,0.192910283757,0.305669396997
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,17,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290171,202609290172,202609290173,202609290174,429,429,0,5.150024982,1.11056318795,4.648105408,2.369988104,39.9682068,42.313994496,43.324996174,52,34.256800365,0.777845057,0.794513166,0,300,321.256800365,111,179,12,7,12,270.357802583,163.439568831,433.797371414,0.901192675277,0.54479856277,1.44599123805
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,18,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290181,202609290182,202609290183,202609290184,419,419,0,4.213769509,0.732656303036,3.064540122,2.304944522,39.031951327,39.677379275,39.96912387,48,34.189920297,0.759865509,0.776148341,0,300,321.189920297,72,135,7,6,7,140.917752792,159.42339497,300.341147762,0.46972584264,0.531411316567,1.00113715921
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,19,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290191,202609290192,202609290193,202609290194,445,445,0,2.431020745,0.688030171861,1.066559725,2.193269734,37.249202563,38.075698687,38.688831192,60,37.327171625,0.799511550,0.816643940,0,300,324.327171625,83,219,5,6,6,65.549836618,212.01467782,277.564514438,0.218499455393,0.706715592733,0.925215048127
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,20,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290201,202609290202,202609290203,202609290204,418,418,0,3.101551374,0.605934252165,2.136083863,1.820072901,37.919733192,38.522329951,38.870680302,48,33.821416391,0.758888798,0.775150701,0,300,320.821416391,55,146,6,6,6,96.900051073,155.215150471,252.115201544,0.323000170243,0.517383834903,0.840384005147
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,21,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290211,202609290212,202609290213,202609290214,417,417,0,5.966949004,1.56181164173,4.49926947,3.481812779,40.785130822,42.310765202,43.175019992,53,36.725252561,0.750544460,0.766627555,0,300,323.725252561,115,184,12,8,13,316.468067283,306.676366498,623.144433781,1.05489355761,1.02225455499,2.0771481126
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,22,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290221,202609290222,202609290223,202609290224,410,410,0,3.265712575,0.436478856949,0.927556248,2.135937816,38.083894393,39.04049767,39.855949094,46,34.412573287,0.743048762,0.758971235,0,300,321.412573287,29,78,7,8,8,57.749077522,115.860305755,173.609383277,0.192496925073,0.386201019183,0.578697944257
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,23,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290231,202609290232,202609290233,202609290234,439,439,0,4.291825544,1.09519618927,3.407615906,2.46007236,39.110007362,39.777979135,40.54353975,44,34.747190250,0.794810573,0.811842228,0,300,321.74719025,107,193,8,8,8,222.316791695,258.474335395,480.79112709,0.741055972317,0.861581117983,1.6026370903
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,24,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290241,202609290242,202609290243,202609290244,412,412,0,3.664500747,0.525334534015,0.884047013,2.860519587,38.482682565,40.269068076,41.680372107,58,38.467134862,0.737728849,0.753537324,0,300,325.467134862,39,106,8,9,9,33.963493066,132.89541469,166.858907756,0.113211643553,0.442984715633,0.556196359187
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,25,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290251,202609290252,202609290253,202609290254,424,424,0,3.302210024,0.611100461396,1.872722036,2.236029802,38.120391842,39.652000924,40.235633821,58,38.371411118,0.759430875,0.775704394,0,300,325.371411118,75,123,9,7,9,101.703715877,128.758248567,230.461964444,0.339012386257,0.42919416189,0.768206548147
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,26,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290261,202609290262,202609290263,202609290264,419,419,0,3.967644885,0.983957763747,2.721603684,2.634491925,38.785826703,39.66945261,39.928005142,48,34.010066237,0.760274673,0.776566273,0,300,321.010066237,96,158,10,7,10,172.699499849,232.050626207,404.750126056,0.575664999497,0.773502087357,1.34916708685
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,27,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290271,202609290272,202609290273,202609290274,410,410,0,2.352481438,0.507839669888,1.212038067,1.821233174,37.170663256,37.773369325,38.645928477,54,36.064699825,0.739395862,0.755240059,0,300,323.064699825,62,133,5,6,6,56.789218258,124.93954144,181.728759698,0.189297394193,0.416465138133,0.605762532327
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,28,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290281,202609290282,202609290283,202609290284,392,392,0,2.721259981,0.460261440758,0.924675318,2.012914606,37.539441799,39.424263565,39.708329468,53,33.879729785,0.711560890,0.726808623,0,300,320.879729785,28,92,8,9,9,53.538103181,114.099028721,167.637131902,0.178460343937,0.380330095737,0.558790439673
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,29,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290291,202609290292,202609290293,202609290294,424,424,0,3.836327174,0.850293704017,1.35566593,3.188673152,38.654508992,39.940711009,40.81854122,48,33.984371011,0.769406353,0.785893632,0,300,320.984371011,67,162,8,8,8,90.624447519,233.303894786,323.928342305,0.30208149173,0.777679649287,1.07976114102
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,30,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290301,202609290302,202609290303,202609290304,408,408,0,3.421875061,0.655397129289,2.15830903,2.207119988,38.240056879,39.491345378,39.779989329,59,37.163838330,0.733390415,0.749105924,0,300,324.16383833,66,122,8,7,8,98.225210361,122.077080749,220.30229111,0.32741736787,0.406923602497,0.734340970367
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,31,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290311,202609290312,202609290313,202609290314,425,425,0,6.688150287,1.11492083647,5.500617391,2.379463176,41.506332105,42.744489667,42.996400545,55,35.252251167,0.768304334,0.784767998,0,300,322.252251167,85,115,14,6,14,300.371120192,116.690387595,417.061507787,1.00123706731,0.38896795865,1.39020502596
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,32,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290321,202609290322,202609290323,202609290324,395,395,0,2.334757964,0.322752665886,0.736922897,1.744442409,37.152939782,37.733429469,37.861620496,53,35.608438186,0.713313231,0.728598515,0,300,322.608438186,32,77,4,6,6,36.570989145,84.516430053,121.087419198,0.12190329715,0.28172143351,0.40362473066
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,33,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290331,202609290332,202609290333,202609290334,428,428,0,2.875025779,0.62089858343,1.747668934,1.898600893,37.693207597,39.111652191,40.195072353,44,36.695958027,0.770410019,0.786918805,0,300,323.695958027,70,132,8,5,8,108.099481492,153.586249627,261.685731119,0.360331604973,0.511954165423,0.872285770397
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,34,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290341,202609290342,202609290343,202609290344,426,426,0,3.39402101,0.545822704831,2.795498228,1.772256117,38.212202828,39.828871654,40.979364511,61,38.339499534,0.763085063,0.779436885,0,300,325.339499534,50,97,9,6,9,121.020684953,75.985041762,197.005726715,0.403402283177,0.25328347254,0.656685755717
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,35,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290351,202609290352,202609290353,202609290354,451,451,0,6.044732339,1.43431567668,4.388955313,3.175401205,40.862914157,44.305138806,45.125365849,71,43.481421421,0.795773268,0.812825553,0,300,330.481421421,133,189,17,9,17,281.793329695,207.054174032,488.847503727,0.939311098983,0.690180580107,1.62949167909
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,36,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290361,202609290362,202609290363,202609290364,414,414,0,2.042239207,0.248777050406,0,2.008872078,36.860421025,38.10866477,38.795774128,45,35.262134136,0.748396748,0.764433821,0,300,322.262134136,11,68,3,5,5,8.262876617,93.445447601,101.708324218,0.0275429220567,0.311484825337,0.339027747393
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,37,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290371,202609290372,202609290373,202609290374,408,408,0,3.804652912,0.640671457409,1.819087687,2.586335656,38.62283473,39.406195087,40.053262783,54,34.323681021,0.739620737,0.755469753,0,300,321.323681021,57,105,7,8,8,91.562228181,149.165171618,240.727399799,0.30520742727,0.497217238727,0.802424665997
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,SERVICE_VARIABILITY_SCV000_ICV000,LOCAL_WINDOW_HPP_BASE,38,0,0,OP_SERVICE_VARIABILITY_SCV000_ICV000,be74beb301453572eb4b8b9417ed945f20d0b200bff7755ce6dd3e66a4a4e13a,TASK3_OPERATIONAL_POOLED_SERVICE_VARIABILITY_V1,202607290000,202609290381,202609290382,202609290383,202609290384,406,406,0,1.6426361,0.220302097096,0.000106175000013,1.58187679,36.460817918,38.008610906,38.46109088,44,34.203534405,0.736259736,0.752036730,0,300,321.203534405,21,60,4,5,5,15.599088819,73.5643349,89.163423719,0.05199696273,0.245214449667,0.297211412397
