schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,metric,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_arrival_window_utilization,50,0.500350510069,0.0327177735631,0.00462699191035,0.95,0.491052221704,0.509648798435
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_arrival_window_utilization,50,0.466642330752,0.0305720128598,0.00432353552153,0.95,0.457953860831,0.475330800673
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_15_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_nominal_offered_load,50,0.826795937552,3.89144086681e-17,5.50332845101e-18,0.95,0.826795937552,0.826795937552
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_nominal_offered_load,50,0.738948869193,0,0,0.95,0.738948869193,0.738948869193
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_arrival_window_utilization,50,0.800803545533,0.0379247062358,0.00536336339077,0.95,0.790025463275,0.811581627791
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_arrival_window_utilization,50,0.671339222718,0.0323390818641,0.00457343681669,0.95,0.662148557342,0.680529888093
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_15_rate,50,0.00184615384615,0.0130542790373,0.00184615384615,0.95,-0.00186383120701,0.00555613889932
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_nominal_offered_load,50,1.15536445091,0,0,0.95,1.15536445091,1.15536445091
