schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,11,300.000000000,334.795505588,409,367,0,18,0,24,42,409,0,0,0,0.027965648,0.000000000,0.172906087,1.636460231,0.200871734,1.636460231,0.000000000,0.000000000,0.000000000,35.019053552,36.454642049,0.666349773,0.661722344,42,0.102689487,34.795505588,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,12,300.000000000,334.673639871,423,371,0,28,0,24,52,423,0,0,0,0.173533227,0.027357422,0.087067815,0.637914203,0.260601042,2.212974895,0.000000000,0.000000000,0.000000000,35.078782860,37.031156713,0.689409757,0.684622189,52,0.122931442,34.673639871,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,13,300.000000000,334.623415863,455,400,0,32,0,23,55,455,0,0,0,1.855364542,8.333303785,0.710008422,3.495169223,2.565372965,8.743439945,0.000000000,0.000000000,0.000000000,37.383554783,43.561621763,0.741674989,0.736524468,55,0.120879121,34.623415863,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,14,300.000000000,333.719484820,374,343,0,17,0,14,31,374,0,0,0,0.002831052,0.000000000,0.122269603,0.878130361,0.125100655,1.072205397,0.000000000,0.000000000,0.000000000,34.943282473,35.890387215,0.611291846,0.607046764,31,0.082887701,33.719484820,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,15,300.000000000,333.864251907,386,347,0,29,0,10,39,386,0,0,0,0.012653064,0.000000000,0.019287839,0.000000000,0.031940903,0.071668868,0.000000000,0.000000000,0.000000000,34.850122721,34.889850686,0.630631921,0.626252533,39,0.101036269,33.864251907,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,16,300.000000000,335.399444162,401,343,0,35,0,23,58,401,0,0,0,0.000000000,0.000000000,0.016347895,0.000000000,0.016347895,0.000000000,0.000000000,0.000000000,0.000000000,34.834529713,34.818181818,0.652139640,0.647610892,58,0.144638404,35.399444162,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,17,300.000000000,334.256800365,429,377,0,35,0,17,52,429,0,0,0,0.208740525,1.688435059,0.102663115,0.769867702,0.311403640,2.684368722,0.000000000,0.000000000,0.000000000,35.129585458,37.502550540,0.700060551,0.695199020,52,0.121212121,34.256800365,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,18,300.000000000,334.189920297,419,371,0,31,0,17,48,419,0,0,0,0.049734139,0.093043522,0.129449158,1.058666561,0.179183297,1.636136911,0.000000000,0.000000000,0.000000000,34.997365115,36.454318729,0.683878958,0.679129799,48,0.114558473,34.189920297,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,19,300.000000000,334.219291288,445,385,0,39,0,21,60,445,0,0,0,0.000585516,0.000000000,0.039780018,0.296058640,0.040365533,0.296058640,0.000000000,0.000000000,0.000000000,34.858547351,35.114240458,0.726251533,0.721208120,60,0.134831461,34.219291288,true,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,LOCAL_WINDOW_HPP_BASE,20,300.000000000,333.821416391,418,373,0,29,0,16,45,418,0,0,0,0.018791114,0.000000000,0.055902937,0.390044025,0.074694051,0.482600949,0.000000000,0.000000000,0.000000000,34.892875869,35.300782767,0.682999918,0.678256863,45,0.107655502,33.821416391,true,COMPLETE
