schema_version,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-6.30278970264,0.199165190834,49,0.95,-6.70302713824,-5.90255226704,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_600_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_900_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_1200_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.00409656342,0.00166531955647,49,0.95,-0.00744314836258,-0.000749978477417,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.0293035658,0.00164287887391,49,0.95,-0.0326050545026,-0.0260020770974,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cutoff_backlog_fraction,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.0862960479,0.00159385423577,49,0.95,-0.0894990179038,-0.0830930778962,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-37.2857627768,0.790001755483,49,0.95,-38.8733307419,-35.6981948117,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.06690438318,0.0299336250064,49,0.95,-0.12705825475,-0.00675051160965,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_mean_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.0123769747,0.00359796251702,49,0.95,-0.0196073510783,-0.00514659832168,COMPLETE
