schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,replication_id,arrival_rate_per_second,arrivals,security_capacity,immigration_capacity,security_nominal_offered_load,immigration_nominal_offered_load,security_arrival_window_utilization,immigration_arrival_window_utilization,total_queue_wait_exceed_15_rate,total_queue_wait_exceed_30_rate,total_queue_wait_exceed_60_rate
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,17,1.36421329697,429,40,24,0.744116343797,0.738948869193,0.754461033891,0.694860958382,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,18,1.36421329697,419,40,24,0.744116343797,0.738948869193,0.73379303192,0.68336798123,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,19,1.36421329697,445,40,24,0.744116343797,0.738948869193,0.77345692046,0.714434840133,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,20,1.36421329697,418,40,24,0.744116343797,0.738948869193,0.733706874179,0.689830934737,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,21,1.36421329697,417,40,24,0.744116343797,0.738948869193,0.720731949456,0.670946100817,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,22,1.36421329697,410,40,24,0.744116343797,0.738948869193,0.724896438809,0.67454680556,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,23,1.36421329697,439,40,24,0.744116343797,0.738948869193,0.774709565166,0.733560183795,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,24,1.36421329697,412,40,24,0.744116343797,0.738948869193,0.7096530114,0.651763257968,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,25,1.36421329697,424,40,24,0.744116343797,0.738948869193,0.731608398059,0.678501986459,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,26,1.36421329697,419,40,24,0.744116343797,0.738948869193,0.740232504864,0.688735094755,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,27,1.36421329697,410,40,24,0.744116343797,0.738948869193,0.713515100461,0.660571006139,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,28,1.36421329697,392,40,24,0.744116343797,0.738948869193,0.682750392915,0.63519858366,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,29,1.36421329697,424,40,24,0.744116343797,0.738948869193,0.745870607924,0.694566191365,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,30,1.36421329697,408,40,24,0.744116343797,0.738948869193,0.707555617262,0.653819448091,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,31,1.36421329697,425,40,24,0.744116343797,0.738948869193,0.751554811442,0.691923676308,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,32,1.36421329697,395,40,24,0.744116343797,0.738948869193,0.68542417839,0.63957952609,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,33,1.36421329697,428,40,24,0.744116343797,0.738948869193,0.746937047735,0.709118186785,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,34,1.36421329697,426,40,24,0.744116343797,0.738948869193,0.741027213331,0.678640166348,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,35,1.36421329697,451,40,24,0.744116343797,0.738948869193,0.773582861703,0.709438897999,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,36,1.36421329697,414,40,24,0.744116343797,0.738948869193,0.719829788831,0.679035533799,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,37,1.36421329697,408,40,24,0.744116343797,0.738948869193,0.717100771388,0.660623114244,0,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,38,1.36421329697,406,40,24,0.744116343797,0.738948869193,0.719704468746,0.674031478129,0,0,0
