schema_version,study_id,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,interstage_buffer_capacity,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,input_draws_sha256,normalized_event_payload_sha256,arrivals,completed_after_drain,rejected_or_dropped_count,conservation_pass,run_status,interstage_buffer_peak_occupancy,system_time_p95_seconds,security_blocked_resource_fraction,security_blocked_resource_seconds,security_busy_seconds,last_exit_seconds,security_blocked_share_of_occupied,interstage_buffer_full_time_fraction,time_weighted_mean_interstage_buffer_occupancy,interstage_block_time_mean_seconds,interstage_block_time_p95_seconds,total_wait_including_interstage_mean_seconds,total_wait_including_interstage_p95_seconds,cohort_clear_time_after_cutoff_seconds
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,11,30,21,25,202607290000,202609290111,202609290112,202609290113,202609290114,e26ea32112b34145f4597dc880d3a97e418100915aec81290d81c7e107c90440,39e4d844358a4edbb52b92c10a799bba828e460fc372fd37518d532d29e51b83,409,409,0,True,COMPLETE,3,50.342042859,0,0,8923.63636356,334.795505588,0,0,0.161259233,0,0,8.000577278,15.523861041,34.795505588
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,12,30,21,25,202607290000,202609290121,202609290122,202609290123,202609290124,5e7768403d04cd908a3f12851404b41158d2d801bc5bd7a60cb446d326e51a1e,b37e139bf989cbf77ea462f4a0c9d53cd0dc867e4ebbdcc53583c417f2591f0a,423,423,0,True,COMPLETE,2,50.53150313,0,0,9229.09090901,346.854902534,0,0,0.003241634,0,0,6.312880067,15.713321312,46.854902534
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,13,30,21,25,202607290000,202609290131,202609290132,202609290133,202609290134,69e477aaf4e576a701c05b406551638599850e496647ab10d50e22a09df77e45,96405049a45f6ced6fb101105d975bbfa9bd0effc3418143f5511fe4678887ad,455,455,0,True,COMPLETE,2,73.22008241,0,0,9927.27272719,365.663985538,0,0,0.015235809,0,0,21.582012641,38.401900592,65.663985538
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,14,30,21,25,202607290000,202609290141,202609290142,202609290143,202609290144,3eb39892a20a0217390af48a30eb92cec434086b31c5fbf488d43be5446e9859,ba8b0b7fe0e46a7f89d4262f26c3c4d1da19439a3a6907f32b42e46742b06f05,374,374,0,True,COMPLETE,3,41.642599388,0,0,8159.99999993,333.71948482,0,0,0.024316314,0,0,1.943726799,6.82441757,33.71948482
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,15,30,21,25,202607290000,202609290151,202609290152,202609290153,202609290154,d82c12f4cfea7164cb5733106a1ae810c4423998e23cd815b08d87f04e59a279,d07a96f61890557a8f482a21c31f65f56dfccef569a74e69ee897200df40c595,386,386,0,True,COMPLETE,1,43.967793876,0,0,8421.81818175,334.527978762,0,0,0,0,0,2.024978382,9.149612058,34.527978762
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,16,30,21,25,202607290000,202609290161,202609290162,202609290163,202609290164,0ae1ee517aa6d11e558f4c00fe5498a73acf57ac7aa460688e506807cd2377c5,613f9c4d4af77d8dfcd9ff625450c1cb39c5e9c7af45fa6648a31aa570d7c881,401,401,0,True,COMPLETE,3,44.677787646,0,0,8749.09090902,347.043596148,0,0,0.066576074,0,0,2.05946763,9.859605828,47.043596148
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,17,30,21,25,202607290000,202609290171,202609290172,202609290173,202609290174,266dcbc6ee1a46ff9a3287bdadc591ad304f0578cdc09e7eaa613da4fa246a45,55547ab32d6e12852c49b0e98b2c544fd3750d197c0e3ec8a50828c231c630ff,429,429,0,True,COMPLETE,1,53.32142025,0,0,9359.99999992,351.077133134,0,0,0.038679571,0,0,7.488261389,18.503238432,51.077133134
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,18,30,21,25,202607290000,202609290181,202609290182,202609290183,202609290184,9ccc0530a0134e0b888b20445eb14e148598546e5aceabfc5061c8ef4ad820af,968187028845afe8b08d677322d903c502412e31ed7bf554896777aa9c84f6fd,419,419,0,True,COMPLETE,1,48.100525201,0,0,9141.81818174,344.706080815,0,0,0.001547844,0,0,6.54835657,13.282343383,44.706080815
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,19,30,21,25,202607290000,202609290191,202609290192,202609290193,202609290194,4000364c613df0f2b76ec1e06efee1dd2f6437fbbda80bf583e14b9a41851e74,5d0fd4a4f162a1f882d5e7dea67e39fa5a3be942961685313e2c1fba4cb72692,445,445,0,True,COMPLETE,3,57.962409453,0,0,9709.09090901,362.564424231,0,0,0.04783978,0,0,8.673911441,23.144227635,62.564424231
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,20,30,21,25,202607290000,202609290201,202609290202,202609290203,202609290204,22af0208faf3e7bb7b1fd2139f02c55620aac4f2ea1e4c03d676e0e2fbf2c0d7,9144946329e150b50340cf04ee4847f442515bc57e4b0113089ed26bdc988298,418,418,0,True,COMPLETE,2,46.524616427,0,0,9119.99999992,339.80680582,0,0,0.075622669,0,0,4.859443425,11.706434609,39.80680582
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,21,30,21,25,202607290000,202609290211,202609290212,202609290213,202609290214,2a7611076323f09eed801a9545289fd21d2971296a52a95e582b9262ed9c7b81,35c7bbf683d108ab718d95c91fe500ed216ad7e957dbed2cb89718e47fcf0b6f,417,417,0,True,COMPLETE,3,52.80831223,0,0,9098.18181811,353.917486944,0,0,0.039099371,0,0,6.595380532,17.990130412,53.917486944
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,22,30,21,25,202607290000,202609290221,202609290222,202609290223,202609290224,99914cad9248df9995c6da58ff02cb023397c509e2faa36fd87c0381ebea62f5,0a77442a8b8650d13429770f4ca750a1678cb050674dc6242933649eb75051f5,410,410,0,True,COMPLETE,2,42.372589659,0,0,8945.45454538,337.40104162,0,0,0.013170366,0,0,3.166326361,7.554407841,37.40104162
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,23,30,21,25,202607290000,202609290231,202609290232,202609290233,202609290234,9b82bad9092b604f3c77ccc8d27db8fa85c889760667ed7597a0de4b62c2a1d0,f9d0081e57265774248fb4bd8df2078d980534e8978e1fb9c6c340ca38383d24,439,439,0,True,COMPLETE,5,57.141855548,0,0,9578.1818181,350.845863418,0,0,0.715488783,0,0,13.277101172,22.32367373,50.845863418
