replication_id,traveller_id,arrival_seconds,security_service_demand_seconds,immigration_primary_service_demand_seconds,additional_check_flag,additional_check_service_demand_seconds,lane_tie_u,security_queue_join_seconds,security_start_seconds,security_end_seconds,immigration_queue_join_seconds,immigration_start_seconds,exit_seconds
1,LOCAL_WINDOW_HPP_BASE_R001_T00029,13.560460425,21.818181818,13.000000000,false,,0.362830316,13.560460425,13.560460425,35.378642243,35.378642243,38.692102607,51.692102607
1,LOCAL_WINDOW_HPP_BASE_R001_T00030,13.615926095,21.818181818,13.000000000,false,,0.292678342,13.615926095,13.615926095,35.434107913,35.434107913,38.847676165,51.847676165
1,LOCAL_WINDOW_HPP_BASE_R001_T00031,13.989366282,21.818181818,13.000000000,false,,0.535193140,13.989366282,13.989366282,35.807548100,35.807548100,39.487208533,52.487208533
1,LOCAL_WINDOW_HPP_BASE_R001_T00032,15.048711216,21.818181818,13.000000000,false,,0.622755370,15.048711216,15.048711216,36.866893034,36.866893034,39.840407993,52.840407993
1,LOCAL_WINDOW_HPP_BASE_R001_T00033,15.678465019,21.818181818,13.000000000,false,,0.310495465,15.678465019,15.678465019,37.496646837,37.496646837,40.372778810,53.372778810
1,LOCAL_WINDOW_HPP_BASE_R001_T00034,17.060357983,21.818181818,13.000000000,false,,0.205267988,17.060357983,17.060357983,38.878539801,38.878539801,40.522504116,53.522504116
1,LOCAL_WINDOW_HPP_BASE_R001_T00035,17.578389847,21.818181818,13.000000000,false,,0.638557419,17.578389847,17.578389847,39.396571665,39.396571665,41.203699587,54.203699587
1,LOCAL_WINDOW_HPP_BASE_R001_T00036,19.294501103,21.818181818,13.000000000,false,,0.703952147,19.294501103,19.294501103,41.112682921,41.112682921,41.259906138,54.259906138
1,LOCAL_WINDOW_HPP_BASE_R001_T00037,21.067701467,21.818181818,13.000000000,false,,0.796015576,21.067701467,22.577523192,44.395705010,44.395705010,44.395705010,57.395705010
1,LOCAL_WINDOW_HPP_BASE_R001_T00038,21.237774114,21.818181818,13.000000000,false,,0.483952940,21.237774114,22.691216647,44.509398465,44.509398465,44.509398465,57.509398465
1,LOCAL_WINDOW_HPP_BASE_R001_T00039,21.369482982,21.818181818,13.000000000,false,,0.002792113,21.369482982,23.276855986,45.095037804,45.095037804,45.095037804,58.095037804
1,LOCAL_WINDOW_HPP_BASE_R001_T00040,21.484010509,21.818181818,13.000000000,false,,0.930090623,21.484010509,24.113161057,45.931342875,45.931342875,45.931342875,58.931342875
1,LOCAL_WINDOW_HPP_BASE_R001_T00041,22.970962796,21.818181818,13.000000000,false,,0.512909674,22.970962796,24.536637905,46.354819723,46.354819723,46.354819723,59.354819723
1,LOCAL_WINDOW_HPP_BASE_R001_T00042,24.424755275,21.818181818,13.000000000,false,,0.239846424,24.424755275,24.830127920,46.648309738,46.648309738,46.648309738,59.648309738
