schema_version,config_id,config_sha256,model_version,scenario_id,scenario_family,reference_scenario_id,input_sample_id,replication_id,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,start_state,arrival_mode,arrival_cutoff_seconds,drain_end_seconds,drain_rule,engine_name,engine_version,calibration_status,claim_ceiling,crn_alignment_status,run_status
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,1,2026072800,2026972901,2026972902,2026972903,2026972904,EMPTY_AND_IDLE,HPP,300.000000000,334.795766802,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,2,2026072800,2026973001,2026973002,2026973003,2026973004,EMPTY_AND_IDLE,HPP,300.000000000,333.698584697,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,3,2026072800,2026973101,2026973102,2026973103,2026973104,EMPTY_AND_IDLE,HPP,300.000000000,334.430042904,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,4,2026072800,2026973201,2026973202,2026973203,2026973204,EMPTY_AND_IDLE,HPP,300.000000000,334.562978255,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,5,2026072800,2026973301,2026973302,2026973303,2026973304,EMPTY_AND_IDLE,HPP,300.000000000,333.646912385,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,2026072800,2026973401,2026973402,2026973403,2026973404,EMPTY_AND_IDLE,HPP,300.000000000,333.313928679,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,2026072800,2026973501,2026973502,2026973503,2026973504,EMPTY_AND_IDLE,HPP,300.000000000,331.307352707,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,2026072800,2026973601,2026973602,2026973603,2026973604,EMPTY_AND_IDLE,HPP,300.000000000,330.941085990,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,2026072800,2026973701,2026973702,2026973703,2026973704,EMPTY_AND_IDLE,HPP,300.000000000,336.281195833,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U50_M60,45de50cf67e57f376bebbb9cf9c7ad27be92a165248a238089c015edec8a2549,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,2026072800,2026973801,2026973802,2026973803,2026973804,EMPTY_AND_IDLE,HPP,300.000000000,329.448666544,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
