schema_version,study_id,pairing_group_id,arrival_level_id,input_sample_id,replication_id,scenario_ids,master_seed,arrival_seed,service_seed,routing_seed,tie_seed
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R001,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,1,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290011,202609290012,202609290013,202609290014
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R002,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,2,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290021,202609290022,202609290023,202609290024
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R003,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,3,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290031,202609290032,202609290033,202609290034
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R004,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,4,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290041,202609290042,202609290043,202609290044
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R005,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,5,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290051,202609290052,202609290053,202609290054
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R006,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,6,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290061,202609290062,202609290063,202609290064
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R007,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,7,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290071,202609290072,202609290073,202609290074
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R008,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,8,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290081,202609290082,202609290083,202609290084
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R009,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,9,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290091,202609290092,202609290093,202609290094
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,CRN_BASE_R010,MLE_BASE,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,10,PEAK_DURATION_S36_I21_T300|PEAK_DURATION_S36_I21_T900|PEAK_DURATION_S36_I21_T1800|PEAK_DURATION_S36_I21_T3600|PEAK_DURATION_S36_I21_T7200|PEAK_DURATION_S30_I18_T300|PEAK_DURATION_S30_I18_T900|PEAK_DURATION_S30_I18_T1800|PEAK_DURATION_S30_I18_T3600|PEAK_DURATION_S30_I18_T7200|PEAK_DURATION_S29_I17_T300|PEAK_DURATION_S29_I17_T900|PEAK_DURATION_S29_I17_T1800|PEAK_DURATION_S29_I17_T3600|PEAK_DURATION_S29_I17_T7200|PEAK_DURATION_S28_I16_T300|PEAK_DURATION_S28_I16_T900|PEAK_DURATION_S28_I16_T1800|PEAK_DURATION_S28_I16_T3600|PEAK_DURATION_S28_I16_T7200,202607290000,202609290101,202609290102,202609290103,202609290104
