schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,0,36,21,0,0,0.826795937552,0.844512993364,CAPACITY_RESPONSE_S36_I21,total_queue_wait_p95_seconds,50,3.92879239474,0.384147863609,0.95,3.15681836064,4.70076642884
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,1,36,20,0,1,0.826795937552,0.886738643032,CAPACITY_RESPONSE_S36_I20,total_queue_wait_p95_seconds,50,5.24133542322,0.485465227974,0.95,4.2657565226,6.21691432384
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,2,36,19,0,2,0.826795937552,0.933409097928,CAPACITY_RESPONSE_S36_I19,total_queue_wait_p95_seconds,50,7.62724575214,0.638799463373,0.95,6.34353016905,8.91096133523
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,3,36,18,0,3,0.826795937552,0.985265158924,CAPACITY_RESPONSE_S36_I18,total_queue_wait_p95_seconds,50,12.2478467585,0.93764488844,0.95,10.3635788095,14.1321147076
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,4,36,17,0,4,0.826795937552,1.04322193298,CAPACITY_RESPONSE_S36_I17,total_queue_wait_p95_seconds,50,20.9267303561,1.39063591847,0.95,18.1321428505,23.7213178617
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,IMMIGRATION_ONLY_AT_SECURITY_REFERENCE,5,36,16,0,5,0.826795937552,1.10842330379,CAPACITY_RESPONSE_S36_I16,total_queue_wait_p95_seconds,50,35.6092292366,1.83719667842,0.95,31.917244286,39.3012141873
