schema_version,study_id,security_higher_capacity,security_lower_capacity,immigration_higher_capacity,immigration_lower_capacity,metric,contrast,n_pairs,mean_interaction,standard_deviation,standard_error,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,20,19,security_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,20,19,immigration_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.04348822734,0.247000185394,0.0349311012093,0.95,-0.113684903336,0.0267084486558,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,total_queue_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.0086411821,0.0356036999973,0.00503512354068,0.95,-0.0187596416832,0.00147727748324,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,total_queue_wait_mean_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.00624814962,0.0105120033222,0.0014866217666,0.95,-0.00923562790914,-0.00326067133086,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,peak_total_waiting_queue,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.24,0.624663174545,0.0883407133357,0.95,-0.41752730995,-0.0624726900503,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,time_weighted_mean_total_waiting_queue,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.007367143233,0.0132818898774,0.00187834287985,0.95,-0.0111418145712,-0.00359247189481,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,cutoff_backlog,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.02,0.141421356237,0.02,0.95,-0.0601915047426,0.0201915047426,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,cohort_clear_time_after_cutoff_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,security_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,19,18,immigration_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.00795583486,0.287239453127,0.0406217930261,0.95,-0.089588384213,0.073676714493,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
