schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,0,36,21,0,0,0.826795937552,0.844512993364,CAPACITY_RESPONSE_S36_I21,total_queue_wait_p95_seconds,50,3.92879239474,0.384147863609,0.95,3.15681836064,4.70076642884
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,1,35,21,1,0,0.850418678625,0.844512993364,CAPACITY_RESPONSE_S35_I21,total_queue_wait_p95_seconds,50,4.2198053318,0.415875661045,0.95,3.38407190164,5.05553876196
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,2,34,21,2,0,0.875430992702,0.844512993364,CAPACITY_RESPONSE_S34_I21,total_queue_wait_p95_seconds,50,4.77640465004,0.463700256443,0.95,3.84456409724,5.70824520284
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,3,33,21,3,0,0.901959204602,0.844512993364,CAPACITY_RESPONSE_S33_I21,total_queue_wait_p95_seconds,50,5.70142152142,0.528998087703,0.95,4.63836006388,6.76448297896
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,4,32,21,4,0,0.930145429746,0.844512993364,CAPACITY_RESPONSE_S32_I21,total_queue_wait_p95_seconds,50,7.09406580436,0.627235896964,0.95,5.83358807798,8.35454353074
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,5,31,21,5,0,0.960150121028,0.844512993364,CAPACITY_RESPONSE_S31_I21,total_queue_wait_p95_seconds,50,9.33206562774,0.771418707533,0.95,7.78184169562,10.8822895599
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,6,30,21,6,0,0.992155125062,0.844512993364,CAPACITY_RESPONSE_S30_I21,total_queue_wait_p95_seconds,50,12.6112887612,0.984861260784,0.95,10.6321359595,14.5904415629
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,7,29,21,7,0,1.02636737075,0.844512993364,CAPACITY_RESPONSE_S29_I21,total_queue_wait_p95_seconds,50,17.4587881551,1.25088511425,0.95,14.945040405,19.9725359052
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY_ONLY_AT_IMMIGRATION_REFERENCE,8,28,21,8,0,1.06302334828,0.844512993364,CAPACITY_RESPONSE_S28_I21,total_queue_wait_p95_seconds,50,24.43412608,1.5487012498,0.95,21.3218943987,27.5463577614
