schema_version,study_id,security_capacity,immigration_capacity,contrast,n_pairs,security_minus_immigration_p95_mean_seconds,standard_error,ci_level,ci_low,ci_high,bottleneck_classification
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,5.83016902912,0.59600494133,0.95,4.63245225782,7.02788580042,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,5.03053085964,0.602305745952,0.95,3.82015214739,6.24090957189,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,4.00417462892,0.587003079908,0.95,2.82454777542,5.18380148242,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-0.51486324866,0.462170152106,0.95,-1.44362894167,0.413902444352,UNRESOLVED_AT_95_PERCENT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-10.0184470052,0.814732075063,0.95,-11.6557124081,-8.38118160224,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-25.1221338097,1.25549766586,0.95,-27.6451508293,-22.5991167902,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,8.46601185888,0.751955848229,0.95,6.95490000686,9.9771237109,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,7.74588184548,0.754232956477,0.95,6.23019397312,9.26156971784,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,6.90759362704,0.750971117945,0.95,5.39846066462,8.41672658946,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,4.16380373552,0.629612636113,0.95,2.898549773,5.42905769804,SECURITY_WAIT_DOMINANT
