schema_version,study_id,comparator_id,security_capacity,immigration_capacity,arrival_rate_per_second,arrival_spacing_seconds,arrival_cutoff_seconds,deterministic_arrivals,security_service_seconds,immigration_service_seconds,security_throughput_capacity_per_second,immigration_throughput_capacity_per_second,system_bottleneck_throughput_capacity_per_second,security_throughput_headroom_per_second,immigration_throughput_headroom_per_second,security_offered_workload_a,immigration_offered_workload_a,security_rho,immigration_rho,security_capacity_minus_a,immigration_capacity_minus_a,security_beta,immigration_beta,ideal_security_wait_mean_seconds,ideal_security_wait_p95_seconds,ideal_immigration_wait_mean_seconds,ideal_immigration_wait_p95_seconds,ideal_total_queue_wait_mean_seconds,ideal_total_queue_wait_p95_seconds,ideal_peak_security_waiting_queue,ideal_peak_immigration_waiting_queue,ideal_peak_total_waiting_queue,anylogic_total_queue_wait_mean_estimate_seconds,anylogic_total_queue_wait_mean_ci_low_seconds,anylogic_total_queue_wait_mean_ci_high_seconds,anylogic_total_queue_wait_p95_estimate_seconds,anylogic_total_queue_wait_p95_ci_low_seconds,anylogic_total_queue_wait_p95_ci_high_seconds,anylogic_peak_total_waiting_queue_estimate,anylogic_peak_total_waiting_queue_ci_low,anylogic_peak_total_waiting_queue_ci_high,variability_congestion_penalty_mean_wait_seconds,variability_congestion_penalty_mean_wait_ci_low_seconds,variability_congestion_penalty_mean_wait_ci_high_seconds,variability_congestion_penalty_p95_wait_seconds,variability_congestion_penalty_p95_wait_ci_low_seconds,variability_congestion_penalty_p95_wait_ci_high_seconds,variability_congestion_penalty_peak_queue,variability_congestion_penalty_peak_queue_ci_low,variability_congestion_penalty_peak_queue_ci_high,interpretation_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,35,17,1.36421329697,0.733023202618,300,409,21.818181818,13,1.60416666668,1.30769230769,1.30769230769,0.239953369708,-0.0565209892797,29.7646537519,17.7347728606,0.850418678625,1.04322193298,5.23534624813,-0.734772860636,0.959610502156,-0.17447784624,0,0,6.21042493823,11.849322221,6.21042493823,11.849322221,0,17,17,9.9618495672,8.28834749631,11.6353516381,20.9267303561,18.1321428505,23.7213178617,30.42,26.7278553331,34.1121446669,3.75142462897,2.07792255807,5.42492669986,9.07740813512,6.28282062951,11.8719956407,13.42,9.7278553331,17.1121446669,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,35,16,1.36421329697,0.733023202618,300,409,21.818181818,13,1.60416666668,1.23076923077,1.23076923077,0.239953369708,-0.133444066203,29.7646537519,17.7347728606,0.850418678625,1.10842330379,5.23534624813,-1.73477286064,0.959610502156,-0.411936053513,0,0,15.6233117593,30.5190901948,15.6233117593,30.5190901948,0,40,40,17.8150163813,15.6576299981,19.9724027645,35.6092292366,31.917244286,39.3012141873,47.98,43.3847154932,52.5752845068,2.19170462203,0.034318238798,4.34909100526,5.09013904182,1.39815409113,8.7821239925,7.98,3.38471549315,12.5752845068,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,21,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.61538461538,1.55833333335,0.194120036374,0.251171318413,29.7646537519,17.7347728606,0.875430992702,0.844512993364,4.23534624813,3.26522713936,0.776315939261,0.775354982853,0,0,0,0,0,0,0,0,0,1.12684069556,0.763216011758,1.49046537936,4.77640465004,3.84456409724,5.70824520284,11.2,9.5760179686,12.8239820314,1.12684069556,0.763216011758,1.49046537936,4.77640465004,3.84456409724,5.70824520284,11.2,9.5760179686,12.8239820314,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,20,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.53846153846,1.53846153846,0.194120036374,0.17424824149,29.7646537519,17.7347728606,0.875430992702,0.886738643032,4.23534624813,2.26522713936,0.776315939261,0.53789677558,0,0,0,0,0,0,0,0,0,1.48691375348,1.05824453492,1.91558297204,5.56594971898,4.55895802244,6.57294141552,11.7,10.0287477116,13.3712522884,1.48691375348,1.05824453492,1.91558297204,5.56594971898,4.55895802244,6.57294141552,11.7,10.0287477116,13.3712522884,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,19,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.46153846154,1.46153846154,0.194120036374,0.0973251645665,29.7646537519,17.7347728606,0.875430992702,0.933409097928,4.23534624813,1.26522713936,0.776315939261,0.300438568307,0,0,0,0,0,0,0,0,0,2.546845924,1.88065124205,3.21304060595,7.66529242952,6.37958626731,8.95099859173,13.44,11.5055176757,15.3744823243,2.546845924,1.88065124205,3.21304060595,7.66529242952,6.37958626731,8.95099859173,13.44,11.5055176757,15.3744823243,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,18,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.38461538462,1.38461538462,0.194120036374,0.0204020876434,29.7646537519,17.7347728606,0.875430992702,0.985265158924,4.23534624813,0.265227139364,0.776315939261,0.0629803610335,0,0,0,0,0,0,0,0,0,5.05207436408,3.94309320679,6.16105552137,12.2478467585,10.3635788095,14.1321147076,18.7,16.1527219327,21.2472780673,5.05207436408,3.94309320679,6.16105552137,12.2478467585,10.3635788095,14.1321147076,18.7,16.1527219327,21.2472780673,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,17,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.30769230769,1.30769230769,0.194120036374,-0.0565209892797,29.7646537519,17.7347728606,0.875430992702,1.04322193298,4.23534624813,-0.734772860636,0.776315939261,-0.17447784624,0,0,6.21042493823,11.849322221,6.21042493823,11.849322221,0,17,17,9.9618495672,8.28834749631,11.6353516381,20.9267303561,18.1321428505,23.7213178617,29.9,26.1926362865,33.6073637135,3.75142462897,2.07792255807,5.42492669986,9.07740813512,6.28282062951,11.8719956407,12.9,9.19263628646,16.6073637135,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,34,16,1.36421329697,0.733023202618,300,409,21.818181818,13,1.55833333335,1.23076923077,1.23076923077,0.194120036374,-0.133444066203,29.7646537519,17.7347728606,0.875430992702,1.10842330379,4.23534624813,-1.73477286064,0.776315939261,-0.411936053513,0,0,15.6233117593,30.5190901948,15.6233117593,30.5190901948,0,40,40,17.8150163813,15.6576299981,19.9724027645,35.6092292366,31.917244286,39.3012141873,47.46,42.916037769,52.003962231,2.19170462203,0.034318238798,4.34909100526,5.09013904182,1.39815409113,8.7821239925,7.46,2.91603776898,12.003962231,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,33,21,1.36421329697,0.733023202618,300,409,21.818181818,13,1.51250000001,1.61538461538,1.51250000001,0.148286703041,0.251171318413,29.7646537519,17.7347728606,0.901959204602,0.844512993364,3.23534624813,3.26522713936,0.593021376366,0.775354982853,0,0,0,0,0,0,0,0,0,1.51029806472,1.03129741802,1.98929871142,5.70142152142,4.63836006388,6.76448297896,12.8,11.0062532178,14.5937467822,1.51029806472,1.03129741802,1.98929871142,5.70142152142,4.63836006388,6.76448297896,12.8,11.0062532178,14.5937467822,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,DETERMINISTIC_IDEAL_CONTROL_V1,33,20,1.36421329697,0.733023202618,300,409,21.818181818,13,1.51250000001,1.53846153846,1.51250000001,0.148286703041,0.17424824149,29.7646537519,17.7347728606,0.901959204602,0.886738643032,3.23534624813,2.26522713936,0.593021376366,0.53789677558,0,0,0,0,0,0,0,0,0,1.74744271626,1.24779851804,2.24708691448,6.14691006548,5.07512901027,7.21869112069,13.06,11.2778600693,14.8421399307,1.74744271626,1.24779851804,2.24708691448,6.14691006548,5.07512901027,7.21869112069,13.06,11.2778600693,14.8421399307,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
