schema_version,study_id,security_capacity,immigration_capacity,arrival_rate_per_second,security_service_seconds,immigration_service_seconds,security_throughput_capacity_per_second,immigration_throughput_capacity_per_second,system_bottleneck_throughput_capacity_per_second,security_throughput_headroom_per_second,immigration_throughput_headroom_per_second,security_offered_workload_a,immigration_offered_workload_a,security_rho,immigration_rho,security_capacity_minus_a,immigration_capacity_minus_a,security_beta,immigration_beta,security_rho_threshold_crossed,immigration_rho_threshold_crossed,interpretation_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,20,1.36421329697,21.818181818,13,1.46666666668,1.53846153846,1.46666666668,0.102453369707,0.17424824149,29.7646537519,17.7347728606,0.930145429746,0.886738643032,2.23534624813,2.26522713936,0.409726813471,0.53789677558,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,19,1.36421329697,21.818181818,13,1.46666666668,1.46153846154,1.46153846154,0.102453369707,0.0973251645665,29.7646537519,17.7347728606,0.930145429746,0.933409097928,2.23534624813,1.26522713936,0.409726813471,0.300438568307,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,18,1.36421329697,21.818181818,13,1.46666666668,1.38461538462,1.38461538462,0.102453369707,0.0204020876434,29.7646537519,17.7347728606,0.930145429746,0.985265158924,2.23534624813,0.265227139364,0.409726813471,0.0629803610335,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,17,1.36421329697,21.818181818,13,1.46666666668,1.30769230769,1.30769230769,0.102453369707,-0.0565209892797,29.7646537519,17.7347728606,0.930145429746,1.04322193298,2.23534624813,-0.734772860636,0.409726813471,-0.17447784624,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,32,16,1.36421329697,21.818181818,13,1.46666666668,1.23076923077,1.23076923077,0.102453369707,-0.133444066203,29.7646537519,17.7347728606,0.930145429746,1.10842330379,2.23534624813,-1.73477286064,0.409726813471,-0.411936053513,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,21,1.36421329697,21.818181818,13,1.42083333335,1.61538461538,1.42083333335,0.0566200363732,0.251171318413,29.7646537519,17.7347728606,0.960150121028,0.844512993364,1.23534624813,3.26522713936,0.226432250575,0.775354982853,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,20,1.36421329697,21.818181818,13,1.42083333335,1.53846153846,1.42083333335,0.0566200363732,0.17424824149,29.7646537519,17.7347728606,0.960150121028,0.886738643032,1.23534624813,2.26522713936,0.226432250575,0.53789677558,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,19,1.36421329697,21.818181818,13,1.42083333335,1.46153846154,1.42083333335,0.0566200363732,0.0973251645665,29.7646537519,17.7347728606,0.960150121028,0.933409097928,1.23534624813,1.26522713936,0.226432250575,0.300438568307,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,18,1.36421329697,21.818181818,13,1.42083333335,1.38461538462,1.38461538462,0.0566200363732,0.0204020876434,29.7646537519,17.7347728606,0.960150121028,0.985265158924,1.23534624813,0.265227139364,0.226432250575,0.0629803610335,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,17,1.36421329697,21.818181818,13,1.42083333335,1.30769230769,1.30769230769,0.0566200363732,-0.0565209892797,29.7646537519,17.7347728606,0.960150121028,1.04322193298,1.23534624813,-0.734772860636,0.226432250575,-0.17447784624,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,16,1.36421329697,21.818181818,13,1.42083333335,1.23076923077,1.23076923077,0.0566200363732,-0.133444066203,29.7646537519,17.7347728606,0.960150121028,1.10842330379,1.23534624813,-1.73477286064,0.226432250575,-0.411936053513,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,21,1.36421329697,21.818181818,13,1.37500000001,1.61538461538,1.37500000001,0.0107867030395,0.251171318413,29.7646537519,17.7347728606,0.992155125062,0.844512993364,0.235346248132,3.26522713936,0.0431376876803,0.775354982853,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,20,1.36421329697,21.818181818,13,1.37500000001,1.53846153846,1.37500000001,0.0107867030395,0.17424824149,29.7646537519,17.7347728606,0.992155125062,0.886738643032,0.235346248132,2.26522713936,0.0431376876803,0.53789677558,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,19,1.36421329697,21.818181818,13,1.37500000001,1.46153846154,1.37500000001,0.0107867030395,0.0973251645665,29.7646537519,17.7347728606,0.992155125062,0.933409097928,0.235346248132,1.26522713936,0.0431376876803,0.300438568307,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,18,1.36421329697,21.818181818,13,1.37500000001,1.38461538462,1.37500000001,0.0107867030395,0.0204020876434,29.7646537519,17.7347728606,0.992155125062,0.985265158924,0.235346248132,0.265227139364,0.0431376876803,0.0629803610335,False,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,17,1.36421329697,21.818181818,13,1.37500000001,1.30769230769,1.30769230769,0.0107867030395,-0.0565209892797,29.7646537519,17.7347728606,0.992155125062,1.04322193298,0.235346248132,-0.734772860636,0.0431376876803,-0.17447784624,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,16,1.36421329697,21.818181818,13,1.37500000001,1.23076923077,1.23076923077,0.0107867030395,-0.133444066203,29.7646537519,17.7347728606,0.992155125062,1.10842330379,0.235346248132,-1.73477286064,0.0431376876803,-0.411936053513,False,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,21,1.36421329697,21.818181818,13,1.32916666668,1.61538461538,1.32916666668,-0.0350466302943,0.251171318413,29.7646537519,17.7347728606,1.02636737075,0.844512993364,-0.764653751868,3.26522713936,-0.140156875215,0.775354982853,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,20,1.36421329697,21.818181818,13,1.32916666668,1.53846153846,1.32916666668,-0.0350466302943,0.17424824149,29.7646537519,17.7347728606,1.02636737075,0.886738643032,-0.764653751868,2.26522713936,-0.140156875215,0.53789677558,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,19,1.36421329697,21.818181818,13,1.32916666668,1.46153846154,1.32916666668,-0.0350466302943,0.0973251645665,29.7646537519,17.7347728606,1.02636737075,0.933409097928,-0.764653751868,1.26522713936,-0.140156875215,0.300438568307,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,18,1.36421329697,21.818181818,13,1.32916666668,1.38461538462,1.32916666668,-0.0350466302943,0.0204020876434,29.7646537519,17.7347728606,1.02636737075,0.985265158924,-0.764653751868,0.265227139364,-0.140156875215,0.0629803610335,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,17,1.36421329697,21.818181818,13,1.32916666668,1.30769230769,1.30769230769,-0.0350466302943,-0.0565209892797,29.7646537519,17.7347728606,1.02636737075,1.04322193298,-0.764653751868,-0.734772860636,-0.140156875215,-0.17447784624,True,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,16,1.36421329697,21.818181818,13,1.32916666668,1.23076923077,1.23076923077,-0.0350466302943,-0.133444066203,29.7646537519,17.7347728606,1.02636737075,1.10842330379,-0.764653751868,-1.73477286064,-0.140156875215,-0.411936053513,True,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,21,1.36421329697,21.818181818,13,1.28333333334,1.61538461538,1.28333333334,-0.080879963628,0.251171318413,29.7646537519,17.7347728606,1.06302334828,0.844512993364,-1.76465375187,3.26522713936,-0.32345143811,0.775354982853,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,20,1.36421329697,21.818181818,13,1.28333333334,1.53846153846,1.28333333334,-0.080879963628,0.17424824149,29.7646537519,17.7347728606,1.06302334828,0.886738643032,-1.76465375187,2.26522713936,-0.32345143811,0.53789677558,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,19,1.36421329697,21.818181818,13,1.28333333334,1.46153846154,1.28333333334,-0.080879963628,0.0973251645665,29.7646537519,17.7347728606,1.06302334828,0.933409097928,-1.76465375187,1.26522713936,-0.32345143811,0.300438568307,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,18,1.36421329697,21.818181818,13,1.28333333334,1.38461538462,1.28333333334,-0.080879963628,0.0204020876434,29.7646537519,17.7347728606,1.06302334828,0.985265158924,-1.76465375187,0.265227139364,-0.32345143811,0.0629803610335,True,False,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,17,1.36421329697,21.818181818,13,1.28333333334,1.30769230769,1.28333333334,-0.080879963628,-0.0565209892797,29.7646537519,17.7347728606,1.06302334828,1.04322193298,-1.76465375187,-0.734772860636,-0.32345143811,-0.17447784624,True,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,16,1.36421329697,21.818181818,13,1.28333333334,1.23076923077,1.23076923077,-0.080879963628,-0.133444066203,29.7646537519,17.7347728606,1.06302334828,1.10842330379,-1.76465375187,-1.73477286064,-0.32345143811,-0.411936053513,True,True,IDEAL_CONTROL_OVERLAY_NOT_CALIBRATED_FORECAST
