schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,0,36,21,0,0,0.826795937552,0.844512993364,CAPACITY_RESPONSE_S36_I21,total_queue_wait_p95_seconds,50,3.92879239474,0.384147863609,0.95,3.15681836064,4.70076642884
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,1,35,20,1,1,0.850418678625,0.886738643032,CAPACITY_RESPONSE_S35_I20,total_queue_wait_p95_seconds,50,5.34085758842,0.495192303199,0.95,4.34573139829,6.33598377855
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,2,34,20,2,1,0.875430992702,0.886738643032,CAPACITY_RESPONSE_S34_I20,total_queue_wait_p95_seconds,50,5.56594971898,0.501096787984,0.95,4.55895802244,6.57294141552
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,3,33,19,3,2,0.901959204602,0.933409097928,CAPACITY_RESPONSE_S33_I19,total_queue_wait_p95_seconds,50,7.7792284028,0.644037396465,0.95,6.48498679908,9.07347000652
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,4,32,19,4,2,0.930145429746,0.933409097928,CAPACITY_RESPONSE_S32_I19,total_queue_wait_p95_seconds,50,8.16707836386,0.653242152095,0.95,6.85433911116,9.47981761656
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,5,31,18,5,3,0.960150121028,0.985265158924,CAPACITY_RESPONSE_S31_I18,total_queue_wait_p95_seconds,50,12.5201251378,0.940123335762,0.95,10.6308765624,14.4093737132
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,6,30,18,6,3,0.992155125062,0.985265158924,CAPACITY_RESPONSE_S30_I18,total_queue_wait_p95_seconds,50,13.5561421372,0.997708503186,0.95,11.5511718354,15.5611124391
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,7,29,17,7,4,1.02636737075,1.04322193298,CAPACITY_RESPONSE_S29_I17,total_queue_wait_p95_seconds,50,21.3938199932,1.40096781256,0.95,18.578469769,24.2091702173
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,BALANCED_JOINT_REDUCTION_PATH,8,28,17,8,4,1.06302334828,1.04322193298,CAPACITY_RESPONSE_S28_I17,total_queue_wait_p95_seconds,50,25.3778662285,1.55715306641,0.95,22.2486499858,28.5070824711
