schema_version,study_id,security_capacity,immigration_capacity,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.51505353208,2.3339236977,0.330066654683,0.95,1.85175975623,3.17834730793,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,13.38,6.3724214473,0.901196483593,0.95,11.5689778628,15.1910221372,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.12065450751,3.17079541169,0.448418187473,0.95,2.21952442209,4.02178459294,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,53.52,9.78178231746,1.38335292175,0.95,50.7400482242,56.2999517758,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,38.3067665606,4.67260079702,0.66080554187,0.95,36.9788281071,39.6347050141,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701546,2.49509732502,0.352860047649,0.95,1.60977820153,3.02797582939,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,CAPACITY_RESPONSE_S36_I19,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,6.31358454242,3.28373050816,0.464389621982,0.95,5.3803586577,7.24681042714,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,12.2478467585,6.63015058961,0.93764488844,0.95,10.3635788095,14.1321147076,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.0478827729,3.9009453227,0.551676978144,0.95,3.93924637873,6.15651916707,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,19.6,8.92828570971,1.26265027394,0.95,17.0626092763,22.1373907237,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,6.00046955231,4.97470880961,0.703530066741,0.95,4.58667295162,7.41426615301,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,58.96,12.6474325861,1.78861706925,0.95,55.3656394289,62.5543605711,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
