schema_version,study_id,scenario_id,input_sample_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,50.66,7.95551406772,1.12507958902,0.95,48.3990679181,52.9209320819,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,35.3645926821,2.17902231585,0.308160291179,0.95,34.7453213919,35.9838639723,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,security_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.7453076705,0.0342922955529,0.00484966294558,0.95,0.735561907936,0.755053433064,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,immigration_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.76127854914,0.0350271303368,0.00495358427733,0.95,0.751323948841,0.771233149439,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,79.1,21.0667064927,2.97928220365,0.95,73.1129082591,85.0870917409,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,18,3.74165738677,0.529150262213,0.95,16.9366327363,19.0633672637,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,89.74,21.7629248484,3.07774234776,0.95,83.5550451917,95.9249548083,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,35.5262052724,10.3050744056,1.45735759857,0.95,32.5975355306,38.4548750141,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.98144383545,1.81470503346,0.256638047002,0.95,5.46571037129,6.49717729961,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,41.5076491078,10.8924647983,1.54042714454,0.95,38.4120448635,44.6032533521,COMPLETE
