schema_version,study_id,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,6.28,0.453593362799,49,0.95,5.36847001039,7.19152998961,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-2.5,0.241170614516,49,0.95,-2.98465049486,-2.01534950514,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,peak_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,5.34,0.467393991037,49,0.95,4.40073660963,6.27926339037,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,2.23156434598,0.319165520089,49,0.95,1.59017722027,2.8729514717,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.358692531428,0.0514826141314,49,0.95,-0.46215071793,-0.255234344927,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,time_weighted_mean_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,1.87287181455,0.272693841659,49,0.95,1.32487302304,2.42087060607,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,3.16527340962,0.309976563919,49,0.95,2.54235218268,3.78819463656,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,cutoff_backlog,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,2.74,0.630393463138,49,0.95,1.47317690683,4.00682309317,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,2.48166985054,0.485816705874,49,0.95,1.50538462863,3.45795507245,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0.08691848932,0.00107224173282,49,0.95,0.0847637388855,0.0890732397545,COMPLETE
