schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,11,300.000000000,334.795505588,409,367,0,18,6,18,42,409,0,0,0,0.288482419,2.482026498,7.411299157,14.574260964,7.699781577,14.821736054,0.000000000,0.000000000,0.000000000,42.517963395,49.639917872,0.740388636,0.882296458,42,0.102689487,34.795505588,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,12,300.000000000,346.243858147,423,359,0,28,18,18,64,423,0,0,0,0.429529951,3.594318012,5.807447339,14.061258359,6.236977290,15.150898556,0.000000000,0.000000000,0.000000000,41.055159108,49.969080374,0.740413527,0.882326120,64,0.151300236,46.243858147,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,13,300.000000000,363.845803722,455,367,0,32,38,18,88,455,0,0,0,4.913418186,15.311140781,16.252997417,29.847713748,21.166415603,37.563980495,0.000000000,0.000000000,0.000000000,55.984597421,72.382162313,0.757896815,0.903160371,88,0.193406593,63.845803722,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,14,300.000000000,333.719484820,374,343,0,17,0,14,31,374,0,0,0,0.105689980,0.485602555,2.030317807,6.099776720,2.136007787,6.733336318,0.000000000,0.000000000,0.000000000,36.954189605,41.551518136,0.679213162,0.809395685,31,0.082887701,33.719484820,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,15,300.000000000,334.257636044,386,341,0,29,0,16,45,386,0,0,0,0.167013951,1.783448807,1.915840731,7.469426344,2.082854681,9.352009037,0.000000000,0.000000000,0.000000000,36.901036499,44.170190855,0.699877486,0.834020671,45,0.116580311,34.257636044,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,16,300.000000000,347.236135759,401,337,1,36,9,18,64,401,0,0,0,0.085959710,0.815556016,2.208617081,9.417096580,2.294576791,9.708673803,0.000000000,0.000000000,0.000000000,37.112758609,44.526855621,0.699899227,0.834046579,64,0.159600998,47.236135759,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,17,300.000000000,350.573784907,429,359,0,35,17,18,70,429,0,0,0,0.630204668,4.648105409,6.526225585,15.342613623,7.156430253,17.336859282,0.000000000,0.000000000,0.000000000,41.974612071,52.155041100,0.741641307,0.883789224,70,0.163170163,50.573784907,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,18,300.000000000,343.342444453,419,359,0,31,11,18,60,419,0,0,0,0.336319219,3.064540122,6.201250405,13.282521342,6.537569624,13.479637483,0.000000000,0.000000000,0.000000000,41.355751442,48.297819301,0.739609676,0.881368197,60,0.143198091,43.342444453,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,19,300.000000000,361.027069672,445,360,3,36,28,18,85,445,0,0,0,0.154371984,1.066559726,8.446559731,22.557242982,8.600931715,22.887138557,0.000000000,0.000000000,0.000000000,43.419113533,57.705320375,0.747027003,0.890207178,85,0.191011236,61.027069672,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,20,300.000000000,339.280402270,418,363,0,29,8,18,55,418,0,0,0,0.231818304,2.136083862,4.521506517,10.699966241,4.753324821,11.779769685,0.000000000,0.000000000,0.000000000,39.571506639,46.597951503,0.746678357,0.889791709,55,0.131578947,39.280402270,true,COMPLETE
