schema_version,study_id,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,arrival_cutoff_seconds,config_id,config_sha256,model_version,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,arrival_guard,security_queue_capacity,immigration_queue_capacity,arrivals,completed_after_drain,rejected_or_dropped_count,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,arrival_window_time_weighted_mean_security_waiting_queue,arrival_window_time_weighted_mean_immigration_waiting_queue,arrival_window_time_weighted_mean_total_waiting_queue,arrival_window_peak_security_waiting_queue,arrival_window_peak_immigration_waiting_queue,arrival_window_peak_total_waiting_queue,security_waiting_at_cutoff,immigration_waiting_at_cutoff,total_waiting_at_cutoff,cutoff_backlog,late_arrival_count,late_arrival_total_queue_wait_p95_seconds,cohort_clear_time_after_cutoff_seconds,queue_mean_window_50_60,queue_mean_window_60_70,queue_mean_window_70_80,queue_mean_window_80_90,queue_mean_window_90_100,arrival_window_queue_growth_intercept,arrival_window_queue_growth_slope_travellers_per_second,security_rho_proxy,immigration_rho_proxy,rho_regime,steady_state_claim_status
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,11,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290111,202609290112,202609290113,202609290114,5000,5000,5000,409,409,0,0.814457277088,3.727629041,0.39329769813,0.71215537305,1.10545307118,7,8,8,0,3,3,42,70,1.269090055,34.795505588,1.00033499727,0.412483246633,2.49579024267,0.2930265626,0.193281328033,2.17915629231,-0.00577854674167,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,12,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290121,202609290122,202609290123,202609290124,5000,5000,5000,423,423,0,0.878583094539,5.19560657,0.605637230873,0.617191617013,1.22282884789,14,6,14,0,3,3,52,84,1.18717384,34.673639871,2.18817106043,5.74408395303,2.81561701073,0.479883731167,0.232500521233,9.17370723052,-0.0305851376676,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,13,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290131,202609290132,202609290133,202609290134,5000,5000,5000,455,455,0,6.87611146396,18.740817072,7.45201758156,2.88688844164,10.3389060232,32,13,35,0,2,2,55,87,3.34554149,34.623415863,27.716973343,14.768691184,6.1722186953,1.20718603673,1.87643097503,59.2802424591,-0.21747529961,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,14,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290141,202609290142,202609290143,202609290144,5000,5000,5000,374,374,0,0.425524233078,3.122620387,0.131760174667,0.39872670257,0.530486877237,5,8,8,0,0,0,31,63,0,33.71948482,0.302802899567,0.0459758185667,0.0383183295,0.570092219233,0.0036795971,0.247771425993,-0.000247100680889,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,15,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290151,202609290152,202609290153,202609290154,5000,5000,5000,386,386,0,0.332675354212,2.620723817,0.214891283307,0.185190797697,0.400082081003,7,4,7,0,0,0,39,67,3.461480705,33.864251907,0.148645341733,0,1.02326789183,2.2033192531,0.3514710789,-1.21138733246,0.00869656909144,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,16,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290161,202609290162,202609290163,202609290164,5000,5000,5000,401,401,0,0.301965517075,1.998925238,0.11275911324,0.192910283757,0.305669396997,4,4,4,1,0,1,58,95,2.54789908,36.858360916,0.5036423331,0.248532740067,0,0.858530648133,1.234895762,-0.98525827774,0.00690834921956,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,17,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290171,202609290172,202609290173,202609290174,5000,5000,5000,429,429,0,1.11056318795,5.150024982,0.901192675277,0.54479856277,1.44599123805,12,7,12,0,0,0,52,80,4.153120063,34.256800365,0.0842248780333,0.316721080533,5.21163424743,2.6738247056,1.05970501117,-1.36182593395,0.0143602129711,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,18,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290181,202609290182,202609290183,202609290184,5000,5000,5000,419,419,0,0.732656303036,4.213769509,0.46972584264,0.531411316567,1.00113715921,7,6,7,0,0,0,48,77,1.269019946,34.189920297,2.58862887353,0.98833678,0.579840417967,0.0956453529,0,5.40295216551,-0.0202331639139,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,19,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290191,202609290192,202609290193,202609290194,5000,5000,5000,445,445,0,0.688030171861,2.431020745,0.218499455393,0.706715592733,0.925215048127,5,6,6,3,0,3,60,101,2.492747144,37.327171625,1.02682295533,1.61345698987,1.2770377065,1.24046087167,1.98885426873,0.26602667697,0.00517022169533,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,20,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290201,202609290202,202609290203,202609290204,5000,5000,5000,418,418,0,0.605934252165,3.101551374,0.323000170243,0.517383834903,0.840384005147,6,6,6,0,0,0,48,86,1.433568096,33.821416391,1.47613688607,0,0.304020742,0.424696062633,0.924005989967,1.13544623331,-0.00226521909856,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
