schema_version,study_id,scenario_id,input_sample_id,security_capacity,immigration_capacity,arrival_cutoff_seconds,metric,estimand,n_replications,mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,security_rho_proxy,immigration_rho_proxy,rho_regime,steady_state_claim_status,analysis_role
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,300,queue_mean_window_60_70,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.452376346,2.72240026076,0.385005537097,49,0.95,0.678678752497,2.22607393951,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,300,queue_mean_window_70_80,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.09643469813,1.66083280602,0.234877227911,49,0.95,0.624431237156,1.56843815911,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,300,queue_mean_window_80_90,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.19702708362,1.90663696267,0.269639185113,49,0.95,0.655166854261,1.73888731299,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,300,queue_mean_window_90_100,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.44343714908,1.87767925135,0.265543946305,49,0.95,0.909806610218,1.97706768795,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,300,arrival_window_queue_growth_slope_travellers_per_second,MEAN_OF_REPLICATION_LEVEL_METRIC,50,-0.00080067358744,0.0382577476986,0.00541046256612,49,0.95,-0.0116734051817,0.0100720580069,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T900,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,900,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.810528738716,0.493856893701,0.0698419116944,49,0.95,0.670176162461,0.950881314971,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T900,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,900,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.28433588452,2.24242233708,0.317126408167,49,0.95,3.64704650763,4.92162526141,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T900,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,900,arrival_window_time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.09645365865,0.711588815146,0.100633855321,49,0.95,0.894222354984,1.29868496232,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T900,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,900,arrival_window_peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,11.7,4.80751962013,0.679885944817,49,0.95,10.3337180412,13.0662819588,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T900,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,36,21,900,security_waiting_at_cutoff,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.14,2.72561545194,0.385460233794,49,0.95,0.365388659269,1.91461134073,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT,EXPLORATORY_FINITE_HORIZON_NOT_STEADY_STATE
